,license,path,download_link,repo_name,input,download_count,org_name,output,starcoder-response,codebertscore,bleuscore
0,,data/repos/lrk/prometheus/tasks/main.yml,https://old-galaxy.ansible.com/lrk/prometheus,prometheus,name: Install Alert manager,9538,lrk,"include: setup-alertmanager.yml
when: '""alertmanager"" in prometheus_components'
","name: Install Alert manager

Answer: include_tasks: install-alert-manager.yml
when: (am_version is not defined) or (am_version.stdout!= prometheus_alertmanager_version
  )
",0.8153220415115356,0.31018718066642903
1,"Apache-2.0-Short,Apache-2.0",data/repos/teemo/stackdriver-ansible-role/tasks/diagnostics.yml,https://old-galaxy.ansible.com/teemo/stackdriver-ansible-role,stackdriver-ansible-role,name: Test jvm connectivity.,2490,teemo,"wait_for:
  host: localhost
  port: '5000'
  timeout: 1
when: stackdriver_jvm_enabled
","name: Test jvm connectivity.

Answer: wait_for:
  host: ''
  port: '5672'
  timeout: 1
",0.8272970914840698,0.5373926490449279
2,,data/repos/ansible-security-compliance/rhel7-role-rht-ccp/tasks/main.yml,https://old-galaxy.ansible.com/ansible-security-compliance/rhel7-role-rht-ccp,rhel7-role-rht-ccp,name: Ensure group owner 0 on /etc/shadow,31,ansible-security-compliance,"file:
  path: /etc/shadow
  group: 0
when: file_exists.stat.exists and True
tags:
- file_groupowner_etc_shadow
- medium_severity
- configure_strategy
- low_complexity
- low_disruption
- CCE-27125-4
- NIST-800-53-AC-6
- PCI-DSS-Req-8.7.c
- CJIS-5.5.2.2
","name: Ensure group owner 0 on /etc/shadow

Answer: file: path=/etc/shadow owner=0 group=shadow mode=0644
",0.7018364071846008,0.11133313495031161
3,,data/repos/indigo-dc/cvmfs-client/tasks/client_config.yml,https://old-galaxy.ansible.com/indigo-dc/cvmfs-client,cvmfs-client,name: '[Docker] mount cvmfs',2583,indigo-dc,"include: mount.yml
when: ansible_virtualization_type == ""docker""
","name: '[Docker] mount cvmfs'

Answer: command: cvmfs_config probe
register: probe_output
",0.7506715059280396,0.15052091937794954
4,GPL-3.0-only,data/repos/belgotux/automysqlbackup/tasks/install.yml,https://old-galaxy.ansible.com/belgotux/automysqlbackup,automysqlbackup,name: automysqlbackup_export_grant - copy bin,11,belgotux,"copy:
  remote_src: true
  src: /opt/automysqlbackup/automysqlbackup_export_grant
  dest: /usr/local/bin/automysqlbackup_export_grant
  mode: '0775'
","name: automysqlbackup_export_grant - copy bin

Answer: copy: src=./automysqlbackup_export_grant dest=/usr/local/bin/automysqlbackup_export_grant
  mode=0755
",0.9066606760025024,0.6859235992714129
5,"Apache-2.0-Short,Apache-2.0",data/repos/honeycombnet/bind/tasks/keys.yml,https://old-galaxy.ansible.com/honeycombnet/bind,bind,name: link key file 1/2,21,honeycombnet,"file:
  src: /etc/bind/keys/.
  dest: /etc/bind/keys/.
  owner: root
  group: root
  state: link
with_nested:
- ''
- - key
  - private
when: not item[0].skipped is defined
tags: bind
","name: link key file 1/2

Answer: become: true
become_user: root
file:
  src: /etc/openvpn/keys/as.key
  dest: /etc/openvpn/keys/as.key.link
  state: link
",0.7712296843528748,0.4110656827863603
6,MIT,data/repos/modcloth/repmgr/tasks/standby-post-tasks.yml,https://old-galaxy.ansible.com/modcloth/repmgr,repmgr,name: clone master,61,modcloth,"shell: sudo su - postgres -c 'repmgr -D  -d postgres -U repmgr -R postgres --force
  --verbose standby clone '
","name: clone master

Answer: sudo: true
command: ''
ignore_errors: true
with_items:
- service postgresql stop
- repmgr -R root -d repmgr -U postgres -h  standby clone --force
",0.8264288902282715,0.4070466197151019
7,GPL-3.0-only,data/repos/alxrem/puppetdb/tasks/main.yml,https://old-galaxy.ansible.com/alxrem/puppetdb,puppetdb,name: Detect firewall rule,30,alxrem,"shell: /sbin/iptables-save | /bin/grep -- '-A INPUT -p tcp -m addrtype ! --src-type
  LOCAL -m multiport --dports {{ puppetdb_port }},{{ puppetdb_ssl_port }} -j DROP'
register: grep_rule
changed_when: grep_rule.rc == 1
failed_when: grep_rule.rc > 1
when: puppetdb_drop_nonlocal
","name: Detect firewall rule iptables v4

Answer: shell: iptables -L
register: firewall_v4_check
changed_when: false
ignore_errors: true
",0.7051416039466858,0.14064419584410343
8,,data/repos/modcloth/newrelic-haproxy-agent/tasks/main.yml,https://old-galaxy.ansible.com/modcloth/newrelic-haproxy-agent,newrelic-haproxy-agent,name: make /etc/newrelic directory,44,modcloth,"file: path=/etc/newrelic state=directory
","name: make /etc/newrelic directory

Answer: file:
  dest: /etc/newrelic
  state: directory
  owner: root
  group: newrelic
  mode: 493
",0.821344256401062,0.22283778134642804
9,,data/repos/mrlesmithjr/ansible-glusterfs-client/tasks/redhat.yml,https://old-galaxy.ansible.com/mrlesmithjr/ansible-glusterfs-client,ansible-glusterfs-client,name: redhat | Installing glusterfs-client,24,mrlesmithjr,"package:
  name: glusterfs-client
  state: present
become: true
","name: redhat | Installing glusterfs-client for Docker

Answer: apt:
  name: ''
  state: present
become: true
with_items:
- glusterfs-client
when: ansible_os_family == ""Debian""
",0.8385262489318848,0.32094228727179486
