,output,path,repo_name,download_count,input,download_link,license,org_name,starcoder-response,codebertscore,bleuscore
0,"include: setup-alertmanager.yml
when: '""alertmanager"" in prometheus_components'
",data/repos/lrk/prometheus/tasks/main.yml,prometheus,9538,name: Install Alert manager,https://old-galaxy.ansible.com/lrk/prometheus,,lrk,"name: Install Alert manager

Answer: include_tasks: install-alert-manager.yml
when: (am_version is not defined) or (am_version.stdout!= prometheus_alertmanager_version
  )
",0.8153220415115356,0.31018718066642903
1,"wait_for:
  host: localhost
  port: '5000'
  timeout: 1
when: stackdriver_jvm_enabled
",data/repos/teemo/stackdriver-ansible-role/tasks/diagnostics.yml,stackdriver-ansible-role,2490,name: Test jvm connectivity.,https://old-galaxy.ansible.com/teemo/stackdriver-ansible-role,"Apache-2.0-Short,Apache-2.0",teemo,"name: Test jvm connectivity.

Answer: wait_for:
  host: ''
  port: '5672'
  timeout: 1
",0.8272970914840698,0.5373926490449279
2,"file:
  path: /etc/shadow
  group: 0
when: file_exists.stat.exists and True
tags:
- file_groupowner_etc_shadow
- medium_severity
- configure_strategy
- low_complexity
- low_disruption
- CCE-27125-4
- NIST-800-53-AC-6
- PCI-DSS-Req-8.7.c
- CJIS-5.5.2.2
",data/repos/ansible-security-compliance/rhel7-role-rht-ccp/tasks/main.yml,rhel7-role-rht-ccp,31,name: Ensure group owner 0 on /etc/shadow,https://old-galaxy.ansible.com/ansible-security-compliance/rhel7-role-rht-ccp,,ansible-security-compliance,"name: Ensure group owner 0 on /etc/shadow

Answer: file: path=/etc/shadow owner=0 group=shadow mode=0644
",0.7018364071846008,0.11133313495031161
3,"include: mount.yml
when: ansible_virtualization_type == ""docker""
",data/repos/indigo-dc/cvmfs-client/tasks/client_config.yml,cvmfs-client,2583,name: '[Docker] mount cvmfs',https://old-galaxy.ansible.com/indigo-dc/cvmfs-client,,indigo-dc,"name: '[Docker] mount cvmfs'

Answer: command: cvmfs_config probe
register: probe_output
",0.7506715059280396,0.15052091937794954
4,"copy:
  remote_src: true
  src: /opt/automysqlbackup/automysqlbackup_export_grant
  dest: /usr/local/bin/automysqlbackup_export_grant
  mode: '0775'
",data/repos/belgotux/automysqlbackup/tasks/install.yml,automysqlbackup,11,name: automysqlbackup_export_grant - copy bin,https://old-galaxy.ansible.com/belgotux/automysqlbackup,GPL-3.0-only,belgotux,"name: automysqlbackup_export_grant - copy bin

Answer: copy: src=./automysqlbackup_export_grant dest=/usr/local/bin/automysqlbackup_export_grant
  mode=0755
",0.9066606760025024,0.6859235992714129
5,"file:
  src: /etc/bind/keys/.
  dest: /etc/bind/keys/.
  owner: root
  group: root
  state: link
with_nested:
- ''
- - key
  - private
when: not item[0].skipped is defined
tags: bind
",data/repos/honeycombnet/bind/tasks/keys.yml,bind,21,name: link key file 1/2,https://old-galaxy.ansible.com/honeycombnet/bind,"Apache-2.0-Short,Apache-2.0",honeycombnet,"name: link key file 1/2

Answer: become: true
become_user: root
file:
  src: /etc/openvpn/keys/as.key
  dest: /etc/openvpn/keys/as.key.link
  state: link
",0.7712296843528748,0.4110656827863603
6,"shell: sudo su - postgres -c 'repmgr -D  -d postgres -U repmgr -R postgres --force
  --verbose standby clone '
",data/repos/modcloth/repmgr/tasks/standby-post-tasks.yml,repmgr,61,name: clone master,https://old-galaxy.ansible.com/modcloth/repmgr,MIT,modcloth,"name: clone master

Answer: sudo: true
command: ''
ignore_errors: true
with_items:
- service postgresql stop
- repmgr -R root -d repmgr -U postgres -h  standby clone --force
",0.8264288902282715,0.4070466197151019
7,"shell: /sbin/iptables-save | /bin/grep -- '-A INPUT -p tcp -m addrtype ! --src-type
  LOCAL -m multiport --dports {{ puppetdb_port }},{{ puppetdb_ssl_port }} -j DROP'
register: grep_rule
changed_when: grep_rule.rc == 1
failed_when: grep_rule.rc > 1
when: puppetdb_drop_nonlocal
",data/repos/alxrem/puppetdb/tasks/main.yml,puppetdb,30,name: Detect firewall rule,https://old-galaxy.ansible.com/alxrem/puppetdb,GPL-3.0-only,alxrem,"name: Detect firewall rule iptables v4

Answer: shell: iptables -L
register: firewall_v4_check
changed_when: false
ignore_errors: true
",0.7051416039466858,0.14064419584410343
8,"file: path=/etc/newrelic state=directory
",data/repos/modcloth/newrelic-haproxy-agent/tasks/main.yml,newrelic-haproxy-agent,44,name: make /etc/newrelic directory,https://old-galaxy.ansible.com/modcloth/newrelic-haproxy-agent,,modcloth,"name: make /etc/newrelic directory

Answer: file:
  dest: /etc/newrelic
  state: directory
  owner: root
  group: newrelic
  mode: 493
",0.821344256401062,0.22283778134642804
9,"package:
  name: glusterfs-client
  state: present
become: true
",data/repos/mrlesmithjr/ansible-glusterfs-client/tasks/redhat.yml,ansible-glusterfs-client,24,name: redhat | Installing glusterfs-client,https://old-galaxy.ansible.com/mrlesmithjr/ansible-glusterfs-client,,mrlesmithjr,"name: redhat | Installing glusterfs-client for Docker

Answer: apt:
  name: ''
  state: present
become: true
with_items:
- glusterfs-client
when: ansible_os_family == ""Debian""
",0.8385262489318848,0.32094228727179486
10,"homebrew: update_homebrew=yes upgrade_all=yes
when: homebrew_upgrade_all_packages
",data/repos/mbautin/ansible-role-homebrew/tasks/main.yml,ansible-role-homebrew,15,name: Upgrade all homebrew packages (if configured).,https://old-galaxy.ansible.com/mbautin/ansible-role-homebrew,,mbautin,"name: Upgrade all homebrew packages (if configured).

Answer: homebrew:
  name: '*'
  state: latest
notify: brew update
when: brew_upgrade
",0.7912485599517822,0.37973572077532736
11,"unarchive:
  src: /tmp/pandoc.tar.gz
  dest: /usr/local
  extra_opts:
  - --strip=1
  remote_src: true
become: true
",data/repos/crivetimihai/workstation/pandoc/tasks/main.yml,workstation,288,name: unpack pandoc,https://old-galaxy.ansible.com/crivetimihai/workstation,,crivetimihai,"name: unpack pandoc

Answer: become: true
unarchive:
  src: /tmp/pandoc-2.10.2.tar.gz
  dest: /usr/local/bin
  extra_opts:
  - --strip-components=1
  - --wildcards
  - '**/*.md'
  remote_src: true
  owner: root
  group: root
",0.8672453165054321,0.48481936486080646
12,"copy: src=mongodb.conf dest=/etc/
",data/repos/andperez/mongodb/tasks/setup-RedHat.yml,mongodb,85,name: MongoDB smallFiles,https://old-galaxy.ansible.com/andperez/mongodb,MIT,andperez,"name: MongoDB smallFilesEnabled
  value: true
  state: present
notify: restart mongodb
",0.6759282946586609,0.11198009783795539
