,org_name,license,input,path,output,repo_name,download_count,download_link,starcoder-response,codebertscore,bleuscore
0,lrk,,name: Install Alert manager,data/repos/lrk/prometheus/tasks/main.yml,"include: setup-alertmanager.yml
when: '""alertmanager"" in prometheus_components'
",prometheus,9538,https://old-galaxy.ansible.com/lrk/prometheus,"name: Install Alert manager

Answer: ansible.builtin.include_tasks: install.yml
",0.7692376375198364,0.3041040683975881
1,teemo,"Apache-2.0-Short,Apache-2.0",name: Test jvm connectivity.,data/repos/teemo/stackdriver-ansible-role/tasks/diagnostics.yml,"wait_for:
  host: localhost
  port: '5000'
  timeout: 1
when: stackdriver_jvm_enabled
",stackdriver-ansible-role,2490,https://old-galaxy.ansible.com/teemo/stackdriver-ansible-role,"name: Test jvm connectivity.

Answer: uri:
  url: http://127.0.0.1:8080/
  return_content: true
register: jvm_test
",0.7151250243186951,0.11132047901707724
2,ansible-security-compliance,,name: Ensure group owner 0 on /etc/shadow,data/repos/ansible-security-compliance/rhel7-role-rht-ccp/tasks/main.yml,"file:
  path: /etc/shadow
  group: 0
when: file_exists.stat.exists and True
tags:
- file_groupowner_etc_shadow
- medium_severity
- configure_strategy
- low_complexity
- low_disruption
- CCE-27125-4
- NIST-800-53-AC-6
- PCI-DSS-Req-8.7.c
- CJIS-5.5.2.2
",rhel7-role-rht-ccp,31,https://old-galaxy.ansible.com/ansible-security-compliance/rhel7-role-rht-ccp,"name: Ensure group owner 0 on /etc/shadow

Answer: file:
  path: /etc/shadow
  state: file
  group: root
  mode: 420
",0.7081061601638794,0.17978261516757663
3,indigo-dc,,name: '[Docker] mount cvmfs',data/repos/indigo-dc/cvmfs-client/tasks/client_config.yml,"include: mount.yml
when: ansible_virtualization_type == ""docker""
",cvmfs-client,2583,https://old-galaxy.ansible.com/indigo-dc/cvmfs-client,"name: '[Docker] mount cvmfs'

Answer: mount:
  name: /cvmfs
  src: ''
  fstype: cvmfs
  opts: rw,noatime,nodiratime
  state: mounted
",0.7114896178245544,0.13081467386610635
4,belgotux,GPL-3.0-only,name: automysqlbackup_export_grant - copy bin,data/repos/belgotux/automysqlbackup/tasks/install.yml,"copy:
  remote_src: true
  src: /opt/automysqlbackup/automysqlbackup_export_grant
  dest: /usr/local/bin/automysqlbackup_export_grant
  mode: '0775'
",automysqlbackup,11,https://old-galaxy.ansible.com/belgotux/automysqlbackup,"name: automysqlbackup_export_grant - copy bin

Answer: copy:
  src: /opt/automysqlbackup/export
  dest: /usr/local/bin/
  owner: root
  group: root
  mode: 493
become: true
",0.8823464512825012,0.6267222127135469
5,honeycombnet,"Apache-2.0-Short,Apache-2.0",name: link key file 1/2,data/repos/honeycombnet/bind/tasks/keys.yml,"file:
  src: /etc/bind/keys/.
  dest: /etc/bind/keys/.
  owner: root
  group: root
  state: link
with_nested:
- ''
- - key
  - private
when: not item[0].skipped is defined
tags: bind
",bind,21,https://old-galaxy.ansible.com/honeycombnet/bind,"name: link key file 1/2

Answer: become: true
become_user: root
file:
  src: /etc/pki/docker/server_key.pem
  dest: /etc/pki/docker/server_key.pem
  state: link
when: not docker_register_symlink_key | bool
",0.7776138782501221,0.39523533711972525
6,modcloth,MIT,name: clone master,data/repos/modcloth/repmgr/tasks/standby-post-tasks.yml,"shell: sudo su - postgres -c 'repmgr -D  -d postgres -U repmgr -R postgres --force
  --verbose standby clone '
",repmgr,61,https://old-galaxy.ansible.com/modcloth/repmgr,"name: clone master

Answer: git:
  repo: https://github.com/kelseyhightower/confd.git
  dest: /etc/confd
  version: master
  update: 'true'
  force: 'true'
notify: restart confd
",0.6768079996109009,0.1316011350221071
7,alxrem,GPL-3.0-only,name: Detect firewall rule,data/repos/alxrem/puppetdb/tasks/main.yml,"shell: /sbin/iptables-save | /bin/grep -- '-A INPUT -p tcp -m addrtype ! --src-type
  LOCAL -m multiport --dports {{ puppetdb_port }},{{ puppetdb_ssl_port }} -j DROP'
register: grep_rule
changed_when: grep_rule.rc == 1
failed_when: grep_rule.rc > 1
when: puppetdb_drop_nonlocal
",puppetdb,30,https://old-galaxy.ansible.com/alxrem/puppetdb,"name: Detect firewall rule for docker

Answer: ansible.builtin.command:
  cmd: firewall-cmd --query-rule=docker
  returns: success
  ignore_errors: true
changed_when: false
register: docker_fw_rule
",0.6991012096405029,0.19737662552075919
8,modcloth,,name: make /etc/newrelic directory,data/repos/modcloth/newrelic-haproxy-agent/tasks/main.yml,"file: path=/etc/newrelic state=directory
",newrelic-haproxy-agent,44,https://old-galaxy.ansible.com/modcloth/newrelic-haproxy-agent,"name: make /etc/newrelic directory

Answer: file:
  path: /etc/newrelic
  state: directory
  mode: 493
",0.8517727851867676,0.318220028290201
9,mrlesmithjr,,name: redhat | Installing glusterfs-client,data/repos/mrlesmithjr/ansible-glusterfs-client/tasks/redhat.yml,"package:
  name: glusterfs-client
  state: present
become: true
",ansible-glusterfs-client,24,https://old-galaxy.ansible.com/mrlesmithjr/ansible-glusterfs-client,"name: redhat | Installing glusterfs-client

Answer: yum:
  name: glusterfs-client
  state: present
become: true
register: result
until: result is successful
when: ansible_distribution!= ""Fedora""
",0.8437187671661377,0.29415892441130415
10,mbautin,,name: Upgrade all homebrew packages (if configured).,data/repos/mbautin/ansible-role-homebrew/tasks/main.yml,"homebrew: update_homebrew=yes upgrade_all=yes
when: homebrew_upgrade_all_packages
",ansible-role-homebrew,15,https://old-galaxy.ansible.com/mbautin/ansible-role-homebrew,"name: Upgrade all homebrew packages (if configured).

Answer: homebrew:
  upgrade: true
when: ansible_os_family == ""Darwin""
",0.7746413946151733,0.36865652142652616
11,crivetimihai,,name: unpack pandoc,data/repos/crivetimihai/workstation/pandoc/tasks/main.yml,"unarchive:
  src: /tmp/pandoc.tar.gz
  dest: /usr/local
  extra_opts:
  - --strip=1
  remote_src: true
become: true
",workstation,288,https://old-galaxy.ansible.com/crivetimihai/workstation,"name: unpack pandoc

Answer: unarchive:
  src: /tmp/pandoc.tar.gz
  dest: /usr/local/bin
  remote_src: true
  creates: /usr/local/bin/pandoc
",0.8637002110481262,0.5817754896083185
12,andperez,MIT,name: MongoDB smallFiles,data/repos/andperez/mongodb/tasks/setup-RedHat.yml,"copy: src=mongodb.conf dest=/etc/
",mongodb,85,https://old-galaxy.ansible.com/andperez/mongodb,"name: MongoDB smallFiles

Answer: command: mongod --smallfiles
args:
  creates: /data/db
notify: restart mongodb
",0.7096463441848755,0.0901180573575424
13,gugu,,name: enable sensu-client to survive reboot,data/repos/gugu/sensu/tasks/client.yml,"service: name=sensu-client enabled=yes
",sensu,35,https://old-galaxy.ansible.com/gugu/sensu,"name: enable sensu-client to survive reboot

Answer: become: true
lineinfile:
  dest: /etc/default/sensu-client
  regexp: ^ENABLED=
  line: ENABLED=1
notify:
- restart sensu-client
",0.7431887984275818,0.13328459140603768
14,rhjhunt,,name: Create CA CSR for self-signed certificate,data/repos/rhjhunt/opensslca/rootca/tasks/main.yml,"community.crypto.openssl_csr_pipe:
  privatekey_path: /etc/pki/CA/private/ca.key.pem
  privatekey_passphrase: changeme
  common_name: Certificate Authority
  use_common_name_for_san: false
  basic_constraints:
  - CA:TRUE
  basic_constraints_critical: true
  key_usage:
  - keyCertSign
  key_usage_critical: true
  country_name: ''
  email_address: '{{ omit }}'
  state_or_province_name: ''
  organization_name: ''
  digest: sha256
register: ca_csr
",opensslca,33,https://old-galaxy.ansible.com/rhjhunt/opensslca,"name: Create CA CSR for self-signed certificate

Answer: command: openssl req -new -key {{ dds_system_tmp }}/ansible_dds/ca_key.pem -out
  {{ dds_system_tmp }}/ansible_dds/ca.csr -config {{ dds_system_tmp }}/ansible_dds/openssl.cnf
  -extensions v3_ca
",0.7082788944244385,0.1344969129460126
15,darkwizard242,MIT,name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .,data/repos/darkwizard242/gcloudsdk/tasks/install_debian.yml,"ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",gcloudsdk,3395,https://old-galaxy.ansible.com/darkwizard242/gcloudsdk,"name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .

Answer: ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",0.899188756942749,0.556141077107356
16,andrelohmann,MIT,name: modify standalone.xml,data/repos/andrelohmann/keycloak/tasks/mysql.yml,"xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:validation
  add_children:
  - valid-connection-checker:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLValidConnectionChecker
  - validate-on-match: 'true'
  - exception-sorter:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLExceptionSorter
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",keycloak,56246,https://old-galaxy.ansible.com/andrelohmann/keycloak,"name: modify standalone.xml

Answer: xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:security/sub:user-name
  value: keycloak
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",0.8905783891677856,0.5230011293752452
17,pablerass,LGPL-3.0-only,name: Add node key,data/repos/pablerass/jenkins-slave-linux/tasks/repos.yml,"apt_key: url=https://deb.nodesource.com/gpgkey/nodesource.gpg.key
",jenkins-slave-linux,27,https://old-galaxy.ansible.com/pablerass/jenkins-slave-linux,"name: Add node key

Answer: ansible.builtin.command:
  cmd: 'openssl genrsa -aes256 -out /etc/ssl/private/node.key 4096

    '
args:
  creates: /etc/ssl/private/node.key
",0.7127034068107605,0.10819298906810271
18,aminvakil,,name: Check if mysql is installed or not,data/repos/aminvakil/lamp/mysql_add_user/tasks/main.yml,"command: ls /etc/mysql
register: result
changed_when: false
ignore_errors: true
",lamp,22657,https://old-galaxy.ansible.com/aminvakil/lamp,"name: Check if mysql is installed or not

Answer: command: dpkg -l | grep mysql
register: mysql_installed
ignore_errors: true
changed_when: false
",0.8009480237960815,0.44101919639749987
19,libre_ops,GPL-3.0-only,name: flush handlers before proceeding,data/repos/libre_ops/debezium/tasks/main.yml,"meta: flush_handlers
when: debezium_flush_handlers
",debezium,211,https://old-galaxy.ansible.com/libre_ops/debezium,"name: flush handlers before proceeding

Answer: ansible.builtin.meta: flush_handlers
",0.7876508831977844,0.38661608643757694
20,anxs,MIT,name: Logwatch | Remove logwatch's cronjob,data/repos/anxs/logwatch/tasks/main.yml,"file:
  path: /etc/cron.daily/00logwatch
  state: absent
",logwatch,581,https://old-galaxy.ansible.com/anxs/logwatch,"name: Logwatch | Remove logwatch's cronjob

Answer: file:
  path: /etc/cron.hourly/logwatch
  state: absent
when: logwatch_remove_cronjob
",0.8518509864807129,0.34878393782244804
21,itev,MIT,name: Configuring permissions on zm.conf,data/repos/itev/zoneminder/tasks/main.yml,"file:
  path: /etc/zm/zm.conf
  state: file
  group: www-data
",zoneminder,46,https://old-galaxy.ansible.com/itev/zoneminder,"name: Configuring permissions on zm.conf

Answer: file:
  path: /etc/zimbra/zm.conf
  owner: zimbra
  group: zimbra
  mode: 420
",0.8417394757270813,0.3339275430856322
