,repo_name,output,license,download_count,org_name,download_link,path,input,starcoder-response,codebertscore,bleuscore
0,prometheus,"include: setup-alertmanager.yml
when: '""alertmanager"" in prometheus_components'
",,9538,lrk,https://old-galaxy.ansible.com/lrk/prometheus,data/repos/lrk/prometheus/tasks/main.yml,name: Install Alert manager,"name: Install Alert manager

Answer: command:
  cmd:./build.sh
  chdir: /tmp/alertmanager-7.0.0-rc38
args:
  chdir: /tmp/alertmanager-7.0.0-rc38
when: 'not alertmanager_binary.stat.exists or alertmanager_force_reinstall

  '
",0.7430041432380676,0.16681292093654138
1,stackdriver-ansible-role,"wait_for:
  host: localhost
  port: '5000'
  timeout: 1
when: stackdriver_jvm_enabled
","Apache-2.0-Short,Apache-2.0",2490,teemo,https://old-galaxy.ansible.com/teemo/stackdriver-ansible-role,data/repos/teemo/stackdriver-ansible-role/tasks/diagnostics.yml,name: Test jvm connectivity.,"name: Test jvm connectivity.

Answer: command:'ssh -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null '
when: stackdriver_jvm_enabled or stackdriver_kafka_enabled
",0.7395985126495361,0.24227335309283918
2,rhel7-role-rht-ccp,"file:
  path: /etc/shadow
  group: 0
when: file_exists.stat.exists and True
tags:
- file_groupowner_etc_shadow
- medium_severity
- configure_strategy
- low_complexity
- low_disruption
- CCE-27125-4
- NIST-800-53-AC-6
- PCI-DSS-Req-8.7.c
- CJIS-5.5.2.2
",,31,ansible-security-compliance,https://old-galaxy.ansible.com/ansible-security-compliance/rhel7-role-rht-ccp,data/repos/ansible-security-compliance/rhel7-role-rht-ccp/tasks/main.yml,name: Ensure group owner 0 on /etc/shadow,"name: Ensure group owner 0 on /etc/shadow

Answer: file: path=/etc/shadow state=directory owner=root group=root mode=0700
",0.6951932907104492,0.14458213091561692
3,cvmfs-client,"include: mount.yml
when: ansible_virtualization_type == ""docker""
",,2583,indigo-dc,https://old-galaxy.ansible.com/indigo-dc/cvmfs-client,data/repos/indigo-dc/cvmfs-client/tasks/client_config.yml,name: '[Docker] mount cvmfs',"name: '[Docker] mount cvmfs'

Answer: command: mount -o cvmfs /vol1/docker /mnt/cvmfs
ignore_errors: true
",0.7209736108779907,0.1433891208585168
4,automysqlbackup,"copy:
  remote_src: true
  src: /opt/automysqlbackup/automysqlbackup_export_grant
  dest: /usr/local/bin/automysqlbackup_export_grant
  mode: '0775'
",GPL-3.0-only,11,belgotux,https://old-galaxy.ansible.com/belgotux/automysqlbackup,data/repos/belgotux/automysqlbackup/tasks/install.yml,name: automysqlbackup_export_grant - copy bin,"name: automysqlbackup_export_grant - copy bin file

Answer: copy:
  src: automysqlbackup_export_grant.sh
  dest: /usr/local/bin/
  owner: root
  group: root
  mode: 493
tags:
- automysqlbackup
",0.8682462573051453,0.6064903811576978
5,bind,"file:
  src: /etc/bind/keys/.
  dest: /etc/bind/keys/.
  owner: root
  group: root
  state: link
with_nested:
- ''
- - key
  - private
when: not item[0].skipped is defined
tags: bind
","Apache-2.0-Short,Apache-2.0",21,honeycombnet,https://old-galaxy.ansible.com/honeycombnet/bind,data/repos/honeycombnet/bind/tasks/keys.yml,name: link key file 1/2,"name: link key file 1/2

Answer: become: true
file:
  src: /etc/pki/tls/private//server.key
  dest: /etc/pki/tls/private/server.key
  state: link
when: not httpd_ssl_key_file.stat.exists
tags: httpd
",0.7727526426315308,0.4356671447826537
6,repmgr,"shell: sudo su - postgres -c 'repmgr -D  -d postgres -U repmgr -R postgres --force
  --verbose standby clone '
",MIT,61,modcloth,https://old-galaxy.ansible.com/modcloth/repmgr,data/repos/modcloth/repmgr/tasks/standby-post-tasks.yml,name: clone master,"name: clone master

Answer: git: repo=https://github.com/percona/percona-server.git dest=/var/lib/mysql check=yes
  version=master
notify:
- restart percona
",0.6831235885620117,0.12229943973607127
7,puppetdb,"shell: /sbin/iptables-save | /bin/grep -- '-A INPUT -p tcp -m addrtype ! --src-type
  LOCAL -m multiport --dports {{ puppetdb_port }},{{ puppetdb_ssl_port }} -j DROP'
register: grep_rule
changed_when: grep_rule.rc == 1
failed_when: grep_rule.rc > 1
when: puppetdb_drop_nonlocal
",GPL-3.0-only,30,alxrem,https://old-galaxy.ansible.com/alxrem/puppetdb,data/repos/alxrem/puppetdb/tasks/main.yml,name: Detect firewall rule,"name: Detect firewall rule systemd

Answer: stat:
  path: /etc/systemd/system/firewall.service
register: firewall_systemd
",0.6883338093757629,0.060552332066047224
8,newrelic-haproxy-agent,"file: path=/etc/newrelic state=directory
",,44,modcloth,https://old-galaxy.ansible.com/modcloth/newrelic-haproxy-agent,data/repos/modcloth/newrelic-haproxy-agent/tasks/main.yml,name: make /etc/newrelic directory,"name: make /etc/newrelic directory

Answer: file:
  path: /etc/newrelic
  state: directory
  owner: root
  group: newrelic
  mode: 493
",0.832729697227478,0.24193637422622483
9,ansible-glusterfs-client,"package:
  name: glusterfs-client
  state: present
become: true
",,24,mrlesmithjr,https://old-galaxy.ansible.com/mrlesmithjr/ansible-glusterfs-client,data/repos/mrlesmithjr/ansible-glusterfs-client/tasks/redhat.yml,name: redhat | Installing glusterfs-client,"name: redhat | Installing glusterfs-client and server

Answer: yum:
  name: ''
  state: present
become: true
with_items:
- glusterfs-client
- glusterfs-server
",0.850400447845459,0.3512436562497231
10,ansible-role-homebrew,"homebrew: update_homebrew=yes upgrade_all=yes
when: homebrew_upgrade_all_packages
",,15,mbautin,https://old-galaxy.ansible.com/mbautin/ansible-role-homebrew,data/repos/mbautin/ansible-role-homebrew/tasks/main.yml,name: Upgrade all homebrew packages (if configured).,"name: Upgrade all homebrew packages (if configured).

Answer: homebrew:
  upgrade: true
when: update_homebrew
",0.8234919905662537,0.5174612785404641
11,workstation,"unarchive:
  src: /tmp/pandoc.tar.gz
  dest: /usr/local
  extra_opts:
  - --strip=1
  remote_src: true
become: true
",,288,crivetimihai,https://old-galaxy.ansible.com/crivetimihai/workstation,data/repos/crivetimihai/workstation/pandoc/tasks/main.yml,name: unpack pandoc,"name: unpack pandoc

Answer: unarchive:
  src: /tmp/pandoc-1.19.1.tar.gz
  dest: /tmp
  remote_src: true
when: (not pandoc_bin.stat.exists) or (pandoc_force_reinstall)
",0.821182131767273,0.4382236445022886
12,mongodb,"copy: src=mongodb.conf dest=/etc/
",MIT,85,andperez,https://old-galaxy.ansible.com/andperez/mongodb,data/repos/andperez/mongodb/tasks/setup-RedHat.yml,name: MongoDB smallFiles,"name: MongoDB smallFilesEnabled

Answer:   false
command: mongo --eval=true --host=localhost --port=27017 --eval=true --quiet
register: mongodb_check
changed_when: false
",0.6484726071357727,0.05946683001958487
13,sensu,"service: name=sensu-client enabled=yes
",,35,gugu,https://old-galaxy.ansible.com/gugu/sensu,data/repos/gugu/sensu/tasks/client.yml,name: enable sensu-client to survive reboot,"name: enable sensu-client to survive reboot

Answer: service: name=sensu-client enabled=yes
",0.8889442682266235,0.41421199679440923
