,repo_name,license,input,download_link,download_count,output,path,org_name,starcoder-response,codebertscore,bleuscore
0,prometheus,,name: Install Alert manager,https://old-galaxy.ansible.com/lrk/prometheus,9538,"include: setup-alertmanager.yml
when: '""alertmanager"" in prometheus_components'
",data/repos/lrk/prometheus/tasks/main.yml,lrk,"name: Install Alert manager

Answer: include_tasks: install.yml
when: not (alertmanager_bin.stat.exists or alertmanager_tgz.stat.exists)
",0.7918891906738281,0.31175490707417797
1,stackdriver-ansible-role,"Apache-2.0-Short,Apache-2.0",name: Test jvm connectivity.,https://old-galaxy.ansible.com/teemo/stackdriver-ansible-role,2490,"wait_for:
  host: localhost
  port: '5000'
  timeout: 1
when: stackdriver_jvm_enabled
",data/repos/teemo/stackdriver-ansible-role/tasks/diagnostics.yml,teemo,"name: Test jvm connectivity.

Answer: command: /opt/monasca/monasca-setup-1.2.0/setup-all.sh
args:
  chdir: /opt/monasca/monasca-setup-1.2.0
environment:
  MONASCA_ROOT_USER: monasca
  MONASCA_ROOT_PASSWORD: monasca123
  PYTHONPATH: /opt/monasca/monasca-setup-1.2.0/lib:/opt/monasca/monasca-agent-1.2.0/lib
",0.6320661902427673,0.03295219163919739
2,rhel7-role-rht-ccp,,name: Ensure group owner 0 on /etc/shadow,https://old-galaxy.ansible.com/ansible-security-compliance/rhel7-role-rht-ccp,31,"file:
  path: /etc/shadow
  group: 0
when: file_exists.stat.exists and True
tags:
- file_groupowner_etc_shadow
- medium_severity
- configure_strategy
- low_complexity
- low_disruption
- CCE-27125-4
- NIST-800-53-AC-6
- PCI-DSS-Req-8.7.c
- CJIS-5.5.2.2
",data/repos/ansible-security-compliance/rhel7-role-rht-ccp/tasks/main.yml,ansible-security-compliance,"name: Ensure group owner 0 on /etc/shadow

Answer: ansible.builtin.file:
  path: /etc/shadow
  state: file
  mode: '0440'
",0.6933122873306274,0.17391548577221766
3,cvmfs-client,,name: '[Docker] mount cvmfs',https://old-galaxy.ansible.com/indigo-dc/cvmfs-client,2583,"include: mount.yml
when: ansible_virtualization_type == ""docker""
",data/repos/indigo-dc/cvmfs-client/tasks/client_config.yml,indigo-dc,"name: '[Docker] mount cvmfs'

Answer: command: mount -t cvmfs  cvmfs /cvmfs
register: mount_cvmfs
",0.7367157936096191,0.1391551874581205
4,automysqlbackup,GPL-3.0-only,name: automysqlbackup_export_grant - copy bin,https://old-galaxy.ansible.com/belgotux/automysqlbackup,11,"copy:
  remote_src: true
  src: /opt/automysqlbackup/automysqlbackup_export_grant
  dest: /usr/local/bin/automysqlbackup_export_grant
  mode: '0775'
",data/repos/belgotux/automysqlbackup/tasks/install.yml,belgotux,"name: automysqlbackup_export_grant - copy bin

Answer: tags: automysqlbackup
copy: src=/usr/local/src/automysqlbackup_export_grant_bin_linux_amd64 dest=/usr/local/bin/
  mode=0755
",0.8737901449203491,0.5911991149980867
5,bind,"Apache-2.0-Short,Apache-2.0",name: link key file 1/2,https://old-galaxy.ansible.com/honeycombnet/bind,21,"file:
  src: /etc/bind/keys/.
  dest: /etc/bind/keys/.
  owner: root
  group: root
  state: link
with_nested:
- ''
- - key
  - private
when: not item[0].skipped is defined
tags: bind
",data/repos/honeycombnet/bind/tasks/keys.yml,honeycombnet,"name: link key file 1/2

Answer: become: true
file:
  src: /etc/pki/tls/private//.key
  dest: /etc/pki/tls/private//key
  state: link
loop: ''
when: ((inventory_hostname_short!= ""localhost"") and (inventory_hostname_short!= ""127.0.0.1""))
",0.7584130764007568,0.3523305960178257
6,repmgr,MIT,name: clone master,https://old-galaxy.ansible.com/modcloth/repmgr,61,"shell: sudo su - postgres -c 'repmgr -D  -d postgres -U repmgr -R postgres --force
  --verbose standby clone '
",data/repos/modcloth/repmgr/tasks/standby-post-tasks.yml,modcloth,"name: clone master

Answer: git: repo=https://github.com/kahing/memcached-py.git dest=/tmp/memcached-py version=master
  force=yes
",0.6844468712806702,0.15377746616687177
7,puppetdb,GPL-3.0-only,name: Detect firewall rule,https://old-galaxy.ansible.com/alxrem/puppetdb,30,"shell: /sbin/iptables-save | /bin/grep -- '-A INPUT -p tcp -m addrtype ! --src-type
  LOCAL -m multiport --dports {{ puppetdb_port }},{{ puppetdb_ssl_port }} -j DROP'
register: grep_rule
changed_when: grep_rule.rc == 1
failed_when: grep_rule.rc > 1
when: puppetdb_drop_nonlocal
",data/repos/alxrem/puppetdb/tasks/main.yml,alxrem,"name: Detect firewall rule ZHAOUI_NODE_EXPORTER

Answer: command: iptables -t nat -C POSTROUTING -s 10.244.0.0/16 -o eth0 -j MASQUERADE
ignore_errors: true
register: zhangwei_iptables_add_node_exporter
when: node_exporter_register_install.changed
",0.7128749489784241,0.2198613564402646
8,newrelic-haproxy-agent,,name: make /etc/newrelic directory,https://old-galaxy.ansible.com/modcloth/newrelic-haproxy-agent,44,"file: path=/etc/newrelic state=directory
",data/repos/modcloth/newrelic-haproxy-agent/tasks/main.yml,modcloth,"name: make /etc/newrelic directory

Answer: become: true
file:
  path: /etc/newrelic
  state: directory
  mode: 493
",0.843629777431488,0.2820865773849103
9,ansible-glusterfs-client,,name: redhat | Installing glusterfs-client,https://old-galaxy.ansible.com/mrlesmithjr/ansible-glusterfs-client,24,"package:
  name: glusterfs-client
  state: present
become: true
",data/repos/mrlesmithjr/ansible-glusterfs-client/tasks/redhat.yml,mrlesmithjr,"name: redhat | Installing glusterfs-client

Answer: yum:
  name: ''
  state: present
become: true
register: result
until: result is successful
when: ansible_distribution!= ""Fedora""
",0.8274583220481873,0.3081925075915453
10,ansible-role-homebrew,,name: Upgrade all homebrew packages (if configured).,https://old-galaxy.ansible.com/mbautin/ansible-role-homebrew,15,"homebrew: update_homebrew=yes upgrade_all=yes
when: homebrew_upgrade_all_packages
",data/repos/mbautin/ansible-role-homebrew/tasks/main.yml,mbautin,"name: Upgrade all homebrew packages (if configured).

Answer: ansible.builtin.command: brew upgrade --all
when: brew_upgrade
",0.7958022952079773,0.3668368289009615
11,workstation,,name: unpack pandoc,https://old-galaxy.ansible.com/crivetimihai/workstation,288,"unarchive:
  src: /tmp/pandoc.tar.gz
  dest: /usr/local
  extra_opts:
  - --strip=1
  remote_src: true
become: true
",data/repos/crivetimihai/workstation/pandoc/tasks/main.yml,crivetimihai,"name: unpack pandoc

Answer: unarchive:
  src: /tmp/pandoc.tar.gz
  dest: /usr/local/bin
  extra_opts:
  - --strip-components=1
  remote_src: true
  owner: root
  group: root
  mode: 493
",0.8887199759483337,0.5591221504985352
12,mongodb,MIT,name: MongoDB smallFiles,https://old-galaxy.ansible.com/andperez/mongodb,85,"copy: src=mongodb.conf dest=/etc/
",data/repos/andperez/mongodb/tasks/setup-RedHat.yml,andperez,"name: MongoDB smallFiles

Answer: ansible.builtin.mongodb_parameter:
  name: smallfiles
  value: true
  state: present
  mode: 416
",0.6682621836662292,0.07257216322616032
13,sensu,,name: enable sensu-client to survive reboot,https://old-galaxy.ansible.com/gugu/sensu,35,"service: name=sensu-client enabled=yes
",data/repos/gugu/sensu/tasks/client.yml,gugu,"name: enable sensu-client to survive reboots

Answer: service: name=sensu-client enabled=yes
",0.8831794261932373,0.40968440994403565
14,opensslca,,name: Create CA CSR for self-signed certificate,https://old-galaxy.ansible.com/rhjhunt/opensslca,33,"community.crypto.openssl_csr_pipe:
  privatekey_path: /etc/pki/CA/private/ca.key.pem
  privatekey_passphrase: changeme
  common_name: Certificate Authority
  use_common_name_for_san: false
  basic_constraints:
  - CA:TRUE
  basic_constraints_critical: true
  key_usage:
  - keyCertSign
  key_usage_critical: true
  country_name: ''
  email_address: '{{ omit }}'
  state_or_province_name: ''
  organization_name: ''
  digest: sha256
register: ca_csr
",data/repos/rhjhunt/opensslca/rootca/tasks/main.yml,rhjhunt,"name: Create CA CSR for self-signed certificate.

Answer: command: openssl req -subj '/CN=localhost' -sha256 -new -key {{ dds_system_tmp }}/ansible_dds/ca-key.pem
  -out {{ dds_system_tmp }}/ansible_dds/ca.csr
",0.7150829434394836,0.11636658591371578
15,gcloudsdk,MIT,name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .,https://old-galaxy.ansible.com/darkwizard242/gcloudsdk,3395,"ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",data/repos/darkwizard242/gcloudsdk/tasks/install_debian.yml,darkwizard242,"name: Debian/Ubuntu Family | Add gpg signing key for google-cloud-sdk .asc

Answer: ansible.builtin.apt_key:
  url: https://packages.cloud.google.com/apt/doc/apt-key.gpg
  state: present
",0.8955487012863159,0.547146552358375
16,keycloak,MIT,name: modify standalone.xml,https://old-galaxy.ansible.com/andrelohmann/keycloak,56246,"xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:validation
  add_children:
  - valid-connection-checker:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLValidConnectionChecker
  - validate-on-match: 'true'
  - exception-sorter:
      class-name: org.jboss.jca.adapters.jdbc.extensions.mysql.MySQLExceptionSorter
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",data/repos/andrelohmann/keycloak/tasks/mysql.yml,andrelohmann,"name: modify standalone.xml

Answer: xml:
  path: '{{ keycloak_dir }}/keycloak-{{ keycloak_version }}/standalone/configuration/standalone.xml'
  xpath: /srv:server/srv:profile/sub:subsystem/sub:datasources/sub:datasource[@jndi-name=""java:jboss/datasources/KeycloakDS""]/sub:security/sub:password
  value: keycloak
  namespaces:
    srv: urn:jboss:domain:10.0
    sub: urn:jboss:domain:datasources:5.0
",0.891200065612793,0.5196643643505742
17,jenkins-slave-linux,LGPL-3.0-only,name: Add node key,https://old-galaxy.ansible.com/pablerass/jenkins-slave-linux,27,"apt_key: url=https://deb.nodesource.com/gpgkey/nodesource.gpg.key
",data/repos/pablerass/jenkins-slave-linux/tasks/repos.yml,pablerass,"name: Add node key

Answer: ansible.builtin.copy:
  src: /tmp/node.key
  dest: /etc/ssl/private/node.key
  owner: root
  group: root
  mode: '0640'
notify: Restart node_exporter
",0.7094056606292725,0.10110519996287158
18,lamp,,name: Check if mysql is installed or not,https://old-galaxy.ansible.com/aminvakil/lamp,22657,"command: ls /etc/mysql
register: result
changed_when: false
ignore_errors: true
",data/repos/aminvakil/lamp/mysql_add_user/tasks/main.yml,aminvakil,"name: Check if mysql is installed or not

Answer: shell: dpkg -s mysql-client | grep -c 'Status: install ok installed'
register: mysql_check_installed
",0.7059869170188904,0.15373197971909294
19,debezium,GPL-3.0-only,name: flush handlers before proceeding,https://old-galaxy.ansible.com/libre_ops/debezium,211,"meta: flush_handlers
when: debezium_flush_handlers
",data/repos/libre_ops/debezium/tasks/main.yml,libre_ops,"name: flush handlers before proceeding

Answer: ansible.builtin.meta: flush_handlers
",0.7876508831977844,0.38661608643757694
20,logwatch,MIT,name: Logwatch | Remove logwatch's cronjob,https://old-galaxy.ansible.com/anxs/logwatch,581,"file:
  path: /etc/cron.daily/00logwatch
  state: absent
",data/repos/anxs/logwatch/tasks/main.yml,anxs,"name: Logwatch | Remove logwatch's cronjob

Answer: file:
  path: /etc/logwatch/cronjob
  state: absent
when: logwatch_cronjob is defined
",0.8319606184959412,0.31952173697692415
21,zoneminder,MIT,name: Configuring permissions on zm.conf,https://old-galaxy.ansible.com/itev/zoneminder,46,"file:
  path: /etc/zm/zm.conf
  state: file
  group: www-data
",data/repos/itev/zoneminder/tasks/main.yml,itev,"name: Configuring permissions on zm.conf

Answer: community.general.ini_file:
  path: /etc/systemd/system/docker.service.d/
  section: Service
  option: PermissionStore
  value: '0644'
  mode: '0644'
notify: restart docker
when: docker_service_manage_permissions
",0.7540118098258972,0.1345993272964532
