,download_count,repo_name,license,org_name,path,download_link,output,input,starcoder-response,codebertscore,bleuscore
0,9538,prometheus,,lrk,data/repos/lrk/prometheus/tasks/main.yml,https://old-galaxy.ansible.com/lrk/prometheus,"include: setup-alertmanager.yml
when: '""alertmanager"" in prometheus_components'
",name: Install Alert manager,"name: Install Alert manager

Answer: ansible.builtin.apt:
  name: alertmanager={{ alertmanager_version }}
  state: present
",0.7566730976104736,0.2554195881257499
1,2490,stackdriver-ansible-role,"Apache-2.0-Short,Apache-2.0",teemo,data/repos/teemo/stackdriver-ansible-role/tasks/diagnostics.yml,https://old-galaxy.ansible.com/teemo/stackdriver-ansible-role,"wait_for:
  host: localhost
  port: '5000'
  timeout: 1
when: stackdriver_jvm_enabled
",name: Test jvm connectivity.,"name: Test jvm connectivity.

Answer: command: 'ping -c 1 '
register: ping_result
changed_when: false
failed_when: false
",0.7119832634925842,0.1219307813481702
2,31,rhel7-role-rht-ccp,,ansible-security-compliance,data/repos/ansible-security-compliance/rhel7-role-rht-ccp/tasks/main.yml,https://old-galaxy.ansible.com/ansible-security-compliance/rhel7-role-rht-ccp,"file:
  path: /etc/shadow
  group: 0
when: file_exists.stat.exists and True
tags:
- file_groupowner_etc_shadow
- medium_severity
- configure_strategy
- low_complexity
- low_disruption
- CCE-27125-4
- NIST-800-53-AC-6
- PCI-DSS-Req-8.7.c
- CJIS-5.5.2.2
",name: Ensure group owner 0 on /etc/shadow,"name: Ensure group owner 0 on /etc/shadow

Answer: file: path=/etc/shadow group=root mode=0644
",0.7014603614807129,0.09281097853489877
3,2583,cvmfs-client,,indigo-dc,data/repos/indigo-dc/cvmfs-client/tasks/client_config.yml,https://old-galaxy.ansible.com/indigo-dc/cvmfs-client,"include: mount.yml
when: ansible_virtualization_type == ""docker""
",name: '[Docker] mount cvmfs',"name: '[Docker] mount cvmfs'

Answer: command: docker run -it -v /cvmfs/elixir-italy.galaxy.refdata:{{ elixir_refdata_tag
  }} -v /data/elixir-italy.galaxy.refdata:/data cvmfs-server-galaxy
when: is_installed.rc == 1
",0.7107136249542236,0.10963016152388076
4,11,automysqlbackup,GPL-3.0-only,belgotux,data/repos/belgotux/automysqlbackup/tasks/install.yml,https://old-galaxy.ansible.com/belgotux/automysqlbackup,"copy:
  remote_src: true
  src: /opt/automysqlbackup/automysqlbackup_export_grant
  dest: /usr/local/bin/automysqlbackup_export_grant
  mode: '0775'
",name: automysqlbackup_export_grant - copy bin,"name: automysqlbackup_export_grant - copy bin to cron folder

Answer: template:
  src: automysqlbackup_export_grant.j2
  dest: /etc/cron.hourly/automysqlbackup_export_grant
  mode: 493
tags:
- automysqlbackup
",0.8523737192153931,0.5010797065048878
5,21,bind,"Apache-2.0-Short,Apache-2.0",honeycombnet,data/repos/honeycombnet/bind/tasks/keys.yml,https://old-galaxy.ansible.com/honeycombnet/bind,"file:
  src: /etc/bind/keys/.
  dest: /etc/bind/keys/.
  owner: root
  group: root
  state: link
with_nested:
- ''
- - key
  - private
when: not item[0].skipped is defined
tags: bind
",name: link key file 1/2,"name: link key file 1/2

Answer: become: true
file:
  src: '{{ dds_temp_path }}/ansible_dds/key.pem'
  dest: /etc/docker-dds/key.pem
  owner: root
  group: docker
  state: link
",0.7679922580718994,0.45952567871891525
6,61,repmgr,MIT,modcloth,data/repos/modcloth/repmgr/tasks/standby-post-tasks.yml,https://old-galaxy.ansible.com/modcloth/repmgr,"shell: sudo su - postgres -c 'repmgr -D  -d postgres -U repmgr -R postgres --force
  --verbose standby clone '
",name: clone master,"name: clone master

Answer: git: repo= dest=/home//gitrepo version=
become: false
register: clone_git
when: git_repo_state == ""present"" and git_clone_on_present
",0.6899496912956238,0.13122222880414824
7,30,puppetdb,GPL-3.0-only,alxrem,data/repos/alxrem/puppetdb/tasks/main.yml,https://old-galaxy.ansible.com/alxrem/puppetdb,"shell: /sbin/iptables-save | /bin/grep -- '-A INPUT -p tcp -m addrtype ! --src-type
  LOCAL -m multiport --dports {{ puppetdb_port }},{{ puppetdb_ssl_port }} -j DROP'
register: grep_rule
changed_when: grep_rule.rc == 1
failed_when: grep_rule.rc > 1
when: puppetdb_drop_nonlocal
",name: Detect firewall rule,"name: Detect firewall ruleset

Answer: ansible.builtin.command:
  cmd: iptables -L
changed_when: false
register: iptables_register_rules
check_mode: false
when:
- ansible_virtualization_type!= ""docker""
- iptables_register_rules.rc == 2
",0.7182651162147522,0.2658435587463961
8,44,newrelic-haproxy-agent,,modcloth,data/repos/modcloth/newrelic-haproxy-agent/tasks/main.yml,https://old-galaxy.ansible.com/modcloth/newrelic-haproxy-agent,"file: path=/etc/newrelic state=directory
",name: make /etc/newrelic directory,"name: make /etc/newrelic directory

Answer: become: true
file:
  path: /etc/newrelic
  state: directory
  mode: 493
",0.843629777431488,0.2820865773849103
9,24,ansible-glusterfs-client,,mrlesmithjr,data/repos/mrlesmithjr/ansible-glusterfs-client/tasks/redhat.yml,https://old-galaxy.ansible.com/mrlesmithjr/ansible-glusterfs-client,"package:
  name: glusterfs-client
  state: present
become: true
",name: redhat | Installing glusterfs-client,"name: redhat | Installing glusterfs-client

Answer: yum:
  name: glusterfs-client
  state: present
become: true
register: result
until: result is successful
when: 'config_network_interfaces and enable_passthrough_nfs is defined and enable_passthrough_nfs
  and ansible_distribution!= ""Fedora""

  '
",0.799504280090332,0.19517558898991716
