,license,org_name,download_count,input,repo_name,path,output,download_link,starcoder-response,codebertscore,bleuscore
0,,lrk,9538,name: Install Alert manager,prometheus,data/repos/lrk/prometheus/tasks/main.yml,"include: setup-alertmanager.yml
when: '""alertmanager"" in prometheus_components'
",https://old-galaxy.ansible.com/lrk/prometheus,"name: Install Alert manager binary

Answer: copy:
  src: /alertmanager
  dest: /usr/local/bin/
  mode: 493
  remote_src: true
notify: restart alertmanager
",0.7075113654136658,0.20192820199884007
1,"Apache-2.0-Short,Apache-2.0",teemo,2490,name: Test jvm connectivity.,stackdriver-ansible-role,data/repos/teemo/stackdriver-ansible-role/tasks/diagnostics.yml,"wait_for:
  host: localhost
  port: '5000'
  timeout: 1
when: stackdriver_jvm_enabled
",https://old-galaxy.ansible.com/teemo/stackdriver-ansible-role,"name: Test jvm connectivity.

Answer: wait_for:
  host: ''
  port: '9000'
  state: started
  timeout: 30
with_items: ''
when:
- item.jvm_options is defined
- item.jvm_options | length > 0
",0.7608360052108765,0.2997130550285095
2,,ansible-security-compliance,31,name: Ensure group owner 0 on /etc/shadow,rhel7-role-rht-ccp,data/repos/ansible-security-compliance/rhel7-role-rht-ccp/tasks/main.yml,"file:
  path: /etc/shadow
  group: 0
when: file_exists.stat.exists and True
tags:
- file_groupowner_etc_shadow
- medium_severity
- configure_strategy
- low_complexity
- low_disruption
- CCE-27125-4
- NIST-800-53-AC-6
- PCI-DSS-Req-8.7.c
- CJIS-5.5.2.2
",https://old-galaxy.ansible.com/ansible-security-compliance/rhel7-role-rht-ccp,"name: Ensure group owner 0 on /etc/shadow

Answer: file:
  path: /etc/shadow
  owner: root
  group: root
  mode: 420
",0.7092888951301575,0.16524984543136126
3,,indigo-dc,2583,name: '[Docker] mount cvmfs',cvmfs-client,data/repos/indigo-dc/cvmfs-client/tasks/client_config.yml,"include: mount.yml
when: ansible_virtualization_type == ""docker""
",https://old-galaxy.ansible.com/indigo-dc/cvmfs-client,"name: '[Docker] mount cvmfs'

Answer: command: 'docker run -it --privileged -v '
with_items:
- cvmfs:/cvmfs/elixir-italy.galaxy.refdata
- cvmfs:/cvmfs/elixir-italy.galaxy
",0.7058149576187134,0.09517273930490866
4,GPL-3.0-only,belgotux,11,name: automysqlbackup_export_grant - copy bin,automysqlbackup,data/repos/belgotux/automysqlbackup/tasks/install.yml,"copy:
  remote_src: true
  src: /opt/automysqlbackup/automysqlbackup_export_grant
  dest: /usr/local/bin/automysqlbackup_export_grant
  mode: '0775'
",https://old-galaxy.ansible.com/belgotux/automysqlbackup,"name: automysqlbackup_export_grant - copy bin file

Answer: copy:
  src: /usr/local/bin/automysqlbackup_export_grant.sh
  dest: /usr/local/bin/automysqlbackup_export_grant
  mode: 493
tags:
- automysqlbackup
",0.9022075533866882,0.5774092652172248
5,"Apache-2.0-Short,Apache-2.0",honeycombnet,21,name: link key file 1/2,bind,data/repos/honeycombnet/bind/tasks/keys.yml,"file:
  src: /etc/bind/keys/.
  dest: /etc/bind/keys/.
  owner: root
  group: root
  state: link
with_nested:
- ''
- - key
  - private
when: not item[0].skipped is defined
tags: bind
",https://old-galaxy.ansible.com/honeycombnet/bind,"name: link key file 1/2

Answer: file:
  src: /etc/pki/docker/ca_key.pem
  dest: /etc/pki/docker/ca_key.pem
  state: link
",0.7719558477401733,0.2945913676672978
6,MIT,modcloth,61,name: clone master,repmgr,data/repos/modcloth/repmgr/tasks/standby-post-tasks.yml,"shell: sudo su - postgres -c 'repmgr -D  -d postgres -U repmgr -R postgres --force
  --verbose standby clone '
",https://old-galaxy.ansible.com/modcloth/repmgr,"name: clone master branch

Answer: git:
  repo: https://github.com/prometheus/prometheus.git
  dest: /prometheus
  version: master
  update: 'false'
",0.6784361600875854,0.12144722332674292
7,GPL-3.0-only,alxrem,30,name: Detect firewall rule,puppetdb,data/repos/alxrem/puppetdb/tasks/main.yml,"shell: /sbin/iptables-save | /bin/grep -- '-A INPUT -p tcp -m addrtype ! --src-type
  LOCAL -m multiport --dports {{ puppetdb_port }},{{ puppetdb_ssl_port }} -j DROP'
register: grep_rule
changed_when: grep_rule.rc == 1
failed_when: grep_rule.rc > 1
when: puppetdb_drop_nonlocal
",https://old-galaxy.ansible.com/alxrem/puppetdb,"name: Detect firewall ruleset

Answer: ansible.builtin.command:
  cmd: firewall-cmd --get-default-zone
changed_when: false
register: _fw_get_default_zone
when:
- ansible_distribution == ""Fedora""
- ansible_distribution_major_version == ""30"" or ansible_distribution_major_version
  == ""31""
",0.6922120451927185,0.2175983436723844
8,,modcloth,44,name: make /etc/newrelic directory,newrelic-haproxy-agent,data/repos/modcloth/newrelic-haproxy-agent/tasks/main.yml,"file: path=/etc/newrelic state=directory
",https://old-galaxy.ansible.com/modcloth/newrelic-haproxy-agent,"name: make /etc/newrelic directory

Answer: file:
  path: /etc/newrelic
  state: directory
  owner: root
  group: newrelic
  mode: 493
",0.832729697227478,0.24193637422622483
9,,mrlesmithjr,24,name: redhat | Installing glusterfs-client,ansible-glusterfs-client,data/repos/mrlesmithjr/ansible-glusterfs-client/tasks/redhat.yml,"package:
  name: glusterfs-client
  state: present
become: true
",https://old-galaxy.ansible.com/mrlesmithjr/ansible-glusterfs-client,"name: redhat | Installing glusterfs-client

Answer: yum:
  name: glusterfs-client
  state: present
become: true
register: result
until: result is successful
when: ansible_distribution!= ""Fedora""
",0.8437187671661377,0.29415892441130415
